epoch,accuracy,loss,val_accuracy,val_loss
0,0.461389422416687,1.21846604347229,0.5273775458335876,1.1473487615585327
1,0.6451702117919922,0.8818876147270203,0.5734870433807373,1.0466135740280151
2,0.7284804582595825,0.6900574564933777,0.5734870433807373,1.1514415740966797
3,0.7918627262115479,0.544747531414032,0.579250693321228,1.1911498308181763
4,0.8247993588447571,0.46128523349761963,0.559077799320221,1.3271328210830688
5,0.8624411821365356,0.37892964482307434,0.5850144028663635,1.3190133571624756
6,0.8843066692352295,0.3240511417388916,0.5677233338356018,1.4087164402008057
7,0.9086631536483765,0.2577153146266937,0.5533141493797302,1.719388484954834
8,0.9280376434326172,0.21777404844760895,0.579250693321228,1.6304224729537964
9,0.9382784366607666,0.18180717527866364,0.5706051588058472,1.8496466875076294
10,0.9421533346176147,0.1780226230621338,0.5763688683509827,1.7682597637176514
11,0.9535012245178223,0.14298881590366364,0.5504322648048401,1.9302024841308594
12,0.950733482837677,0.14141833782196045,0.5677233338356018,1.8777775764465332
13,0.9518405795097351,0.13275164365768433,0.5936599373817444,1.9896103143692017
14,0.9562690258026123,0.12572449445724487,0.5763688683509827,2.2310938835144043
15,0.9510102272033691,0.14974243938922882,0.579250693321228,2.142031192779541
16,0.9568225741386414,0.13762392103672028,0.5533141493797302,2.2333052158355713
17,0.9606974720954895,0.10584338009357452,0.5706051588058472,2.2544479370117188
18,0.9703847169876099,0.08435716480016708,0.559077799320221,2.307288885116577
19,0.973429262638092,0.07868652045726776,0.5763688683509827,2.3336498737335205
20,0.9767506122589111,0.06878648698329926,0.5965417623519897,2.288469076156616
21,0.9795184135437012,0.06369199603796005,0.6023054718971252,2.4288525581359863
22,0.974259614944458,0.07273799180984497,0.590778112411499,2.450629711151123
23,0.9745364189147949,0.07320112735033035,0.5706051588058472,2.5944602489471436
24,0.9640188217163086,0.10271138697862625,0.5850144028663635,2.628614902496338
