epoch,accuracy,loss,val_accuracy,val_loss
0,0.3559368848800659,1.3313497304916382,0.39193084836006165,1.279227614402771
1,0.6482147574424744,0.9921553134918213,0.6455331444740295,0.9017488956451416
2,0.797121524810791,0.5725467205047607,0.7031700015068054,0.7541542649269104
3,0.8502629399299622,0.4107748866081238,0.6772334575653076,0.7939155697822571
4,0.8790478706359863,0.330811083316803,0.6974063515663147,0.8235662579536438
5,0.9011901617050171,0.279053658246994,0.7031700015068054,0.853665828704834
6,0.9194574952125549,0.2320348471403122,0.6714697480201721,0.9468877911567688
7,0.9332964420318604,0.19497942924499512,0.6829971075057983,0.9676629900932312
8,0.948519229888916,0.1657002866268158,0.6829971075057983,1.0685330629348755
9,0.9526709318161011,0.14907999336719513,0.6772334575653076,1.0885390043258667
10,0.9584832787513733,0.13102053105831146,0.6772334575653076,1.152238368988037
11,0.9648491740226746,0.11776366084814072,0.6772334575653076,1.222176194190979
12,0.9676169157028198,0.10657201707363129,0.6628242135047913,1.2088875770568848
13,0.9692776203155518,0.0978822335600853,0.680115282535553,1.2875736951828003
14,0.9701079726219177,0.09428254514932632,0.6685879230499268,1.3292547464370728
15,0.972045361995697,0.08484484255313873,0.6743515729904175,1.397569179534912
16,0.9748131632804871,0.08401759713888168,0.6685879230499268,1.3868794441223145
17,0.973706066608429,0.08129958808422089,0.680115282535553,1.4297641515731812
18,0.973706066608429,0.07857188582420349,0.6858789920806885,1.4374749660491943
19,0.976473867893219,0.06926119327545166,0.6858789920806885,1.4852782487869263
20,0.9761970639228821,0.07225282490253448,0.6599423885345459,1.5276877880096436
21,0.977027416229248,0.06512963026762009,0.6657060384750366,1.5194714069366455
22,0.9753667116165161,0.06868919730186462,0.6657060384750366,1.5660218000411987
23,0.9775809645652771,0.06808933615684509,0.680115282535553,1.560886025428772
24,0.9773041605949402,0.06444288790225983,0.6772334575653076,1.6054117679595947
